Date,Type,Sub Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #,Currency
2023-03-20T08:04:01-0700,Trade,Sell to Close,SELL_TO_CLOSE,SPX   230421P03530000,Equity Option,Sold 1 SPX 04/21/23 Put 3530.00 @ 15.55,"1,555.00",1,"1,555.00",0.00,-0.782,100,SPX,SPX,4/21/23,3530.0,PUT,260321518,USD
2023-03-18T07:50:47-0700,Money Movement,Balance Adjustment,,,,Regulatory fee adjustment,-0.03,0,,--,0.00,,,,,,,,USD
2023-03-17T09:52:45-0700,Trade,Buy to Open,BUY_TO_OPEN,SPX   230421P03530000,Equity Option,Bought 1 SPX 04/21/23 Put 3530.00 @ 19.87,"-1,987.00",1,"-1,987.00",-1.00,-0.78,100,SPX,SPX,4/21/23,3530.0,PUT,260134203,USD
2023-03-17T09:52:45-0700,Trade,Buy to Open,BUY_TO_OPEN,SPX   230421P03680000,Equity Option,Bought 1 SPX 04/21/23 Put 3680.00 @ 37.35,"-3,735.00",1,"-3,735.00",-1.00,-0.78,100,SPX,SPX,4/21/23,3680.0,PUT,260134203,USD
2023-03-17T09:52:45-0700,Trade,Sell to Open,SELL_TO_OPEN,SPX   230421P03630000,Equity Option,Sold 2 SPX 04/21/23 Put 3630.00 @ 30.16,"6,032.00",2,"3,016.00",-2.00,-1.565,100,SPX,SPX,4/21/23,3630.0,PUT,260134203,USD
2023-03-16T14:00:00-0700,Money Movement,Credit Interest,,,,INTEREST ON CREDIT BALANCE,0.37,0,,--,0.00,,,,,,,,USD
2023-03-16T08:11:33-0700,Trade,Sell to Open,SELL_TO_OPEN,LUV   230421C00030000,Equity Option,Sold 1 LUV 04/21/23 Call 30.00 @ 1.50,150.00,1,150.00,-1.00,-0.142,100,LUV,LUV,4/21/23,30.0,CALL,259841135,USD
2023-03-16T08:11:33-0700,Trade,Buy to Open,BUY_TO_OPEN,LUV   230421C00027500,Equity Option,Bought 2 LUV 04/21/23 Call 27.50 @ 3.20,-640.00,2,-320.00,-2.00,-0.26,100,LUV,LUV,4/21/23,27.5,CALL,259841135,USD
2023-03-16T08:09:32-0700,Trade,Sell to Open,SELL_TO_OPEN,SCHW  230421P00050000,Equity Option,Sold 1 SCHW 04/21/23 Put 50.00 @ 2.37,237.00,1,237.00,-1.00,-0.142,100,SCHW,SCHW,4/21/23,50.0,PUT,259839756,USD
2023-03-16T07:52:36-0700,Trade,Buy to Close,BUY_TO_CLOSE,SPX   230421P03600000,Equity Option,Bought 2 SPX 04/21/23 Put 3600.00 @ 27.08,"-5,416.00",2,"-2,708.00",0.00,-1.56,100,SPX,SPX,4/21/23,3600.0,PUT,259826526,USD
